Symbol,Margin,Leverage
PHARMABEES,20,5
PHOENIXLTD,20,5
PICCADIL,20,5
PIDILITIND,20,5
PIIND,20,5
PILANIINVS,20,5
PINELABS,20,5
PIRAMALFIN,20,5
PITTIENG,20,5
PIXTRANS,20,5
PLATIND,20,5
PNB,20,5
PNBGILTS,20,5
PNBHOUSING,20,5
PNCINFRA,20,5
PNGJL,20,5
POCL,20,5
POKARNA,20,5
POLICYBZR,20,5
POLYCAB,20,5
POLYMED,20,5
POLYPLEX,20,5
POONAWALLA,20,5
POWERGRID,20,5
POWERINDIA,20,5
POWERMECH,20,5
PPL,20,5
PPLPHARMA,20,5
PRABHA,20,5
PRAJIND,20,5
PRAKASH,20,5
PRECAM,20,5
PRECWIRE,20,5
PREMEXPLN,20,5
PREMIERENE,20,5
PRESTIGE,20,5
PRICOLLTD,20,5
PRIMESECU,20,5
PRINCEPIPE,20,5
PRIVISCL,20,5
PROSTARM,20,5
PROTEAN,20,5
PRSMJOHNSN,20,5
PRUDENT,20,5
PSB,20,5
PSPPROJECT,20,5
PSUBANK,20,5
PSUBANKADD,20,5
PSUBNKBEES,20,5
PTC,20,5
PTCIL,20,5
PURVA,20,5
PVRINOX,20,5
PVTBANIETF,20,5
PVTBANKADD,20,5
PWL,20,5
QGOLDHALF,20,5
QPOWER,20,5
QUADFUTURE,20,5
QUESS,20,5
QUICKHEAL,20,5
RACLGEAR,20,5
RADHIKAJWE,20,5
RADICO,20,5
RAILTEL,20,5
RAIN,20,5
RAINBOW,20,5
RAJESHEXPO,20,5
RAJOOENG,20,5
RAJRATAN,20,5
RALLIS,20,5
RAMAPHO,20,5
RAMASTEEL,20,5
RAMCOCEM,20,5
RAMCOIND,20,5
RAMCOSYS,20,5
RAMKY,20,5
RAMRAT,20,5
RANEHOLDIN,20,5
RATEGAIN,20,5
RATNAMANI,20,5
RATNAVEER,20,5
RAYMOND,20,5
RAYMONDLSL,20,5
RAYMONDREL,20,5
RBA,20,5
RBLBANK,20,5
RBZJEWEL,20,5
RCF,20,5
RECLTD,20,5
REDINGTON,20,5
REDTAPE,20,5
REFEX,20,5
REGAAL,20,5
RELAXO,20,5
RELIANCE,20,5
RELIGARE,20,5
RELTD,20,5
REMSONSIND,20,5
RENUKA,20,5
REPCOHOME,20,5
RESPONIND,20,5
RGL,20,5
RHETAN,20,5
RHIM,20,5
RICOAUTO,20,5
RIIL,20,5
RISHABH,20,5
RITCO,20,5
RITES,20,5
RKEC,20,5
RKFORGE,20,5
RMDRIP,20,5
RML,20,5
ROHLTD,20,5
ROLEXRINGS,20,5
ROSSARI,20,5
ROSSTECH,20,5
ROTO,20,5
ROUTE,20,5
RPEL,20,5
RPGLIFE,20,5
RPOWER,20,5
RPSGVENT,20,5
RPTECH,20,5
RRKABEL,20,5
RSYSTEMS,20,5
RTNINDIA,20,5
RTNPOWER,20,5
RUBICON,20,5
RUPA,20,5
RUSTOMJEE,20,5
RVNL,20,5
SAATVIKGL,20,5
SAFARI,20,5
SAGCEM,20,5
SAGILITY,20,5
SAIL,20,5
SAILIFE,20,5
SAKAR,20,5
SAKSOFT,20,5
SALASAR,20,5
SALZERELEC,20,5
SAMBHV,20,5
SAMHI,20,5
SAMMAANCAP,20,5
SANATHAN,20,5
SANDHAR,20,5
SANDUMA,20,5
SANGAMIND,20,5
SANGHIIND,20,5
SANGHVIMOV,20,5
SANOFI,20,5
SANOFICONR,20,5
SANSERA,20,5
SANSTAR,20,5
SAPPHIRE,20,5
SARDAEN,20,5
SAREGAMA,20,5
SASKEN,20,5
SATIN,20,5
SBC,20,5
SBCL,20,5
SBFC,20,5
SBICARD,20,5
SBILIFE,20,5
SBIN,20,5
SBISILVER,20,5
SCHAEFFLER,20,5
SCHAND,20,5
SCHNEIDER,20,5
SCI,20,5
SCILAL,20,5
SCODATUBES,20,5
SDBL,20,5
SDL26BEES,20,5
SEAMECLTD,20,5
SENCO,20,5
SENORES,20,5
SENSEXIETF,20,5
SEPC,20,5
SEQUENT,20,5
SERVOTECH,20,5
SETFGOLD,20,5
SETFNIF50,20,5
SETFNIFBK,20,5
SETFNN50,20,5
SFL,20,5
SGFIN,20,5
SGIL,20,5
SGLTL,20,5
SGMART,20,5
SHAILY,20,5
SHAKTIPUMP,20,5
SHALBY,20,5
SHANKARA,20,5
SHANTIGEAR,20,5
SHANTIGOLD,20,5
SHARDACROP,20,5
